id,customerName,level,month,day,year,resTime
10001,Trent Harris,Low,8,11,2023,43
10002,Ada Roberts,Critical,4,25,2025,313
10003,Xander Garcia,Low,11,15,2023,25
10004,Judy Martin,High,7,1,2024,71
10005,Fiona Hill,High,1,9,2023,43
10006,Rupert Turing,High,1,23,2024,16
10007,Tim Gonzalez,Low,2,27,2023,324
10008,Grace Taylor,Critical,9,8,2026,191
10009,Carol Johnson,Low,6,12,2026,251
10010,Sybil Wilson,Low,6,22,2023,58
10011,Mark Turing,Medium,9,18,2023,77
10012,Laura Anderson,Low,10,15,2026,50
10013,Bob Gates,High,3,17,2023,23
10014,Aaron Harris,High,12,26,2023,221
10015,Mark Jones,Critical,7,7,2023,289
10016,Sky Jobs,Medium,2,12,2023,105
10017,Jasmine Young,Critical,12,7,2025,5
10018,Fiona Thomas,Critical,10,25,2025,350
10019,Carlos Ross,Low,10,8,2025,14
10020,Carlos Williams,High,8,13,2026,299
10021,Grace Hill,Medium,4,18,2025,138
10022,Jasmine Miles,Medium,9,23,2024,119
10023,Niaj Carter,Medium,1,25,2026,224
10024,Ian Lopez,Medium,2,21,2025,151
10025,Zach Miller,Medium,5,28,2025,59
10026,Beth Turing,Critical,4,8,2026,325
10027,Grace Hall,Medium,12,21,2026,195
10028,Frank Turner,Medium,2,17,2025,36
10029,Mark Hall,High,7,25,2025,299
10030,Diana Wright,Low,9,12,2023,184
10031,Victor Nelson,High,2,20,2025,79
10032,Xander Johnson,High,3,10,2025,273
10033,Carlos Jones,Medium,3,4,2025,243
10034,Victor Turing,Medium,5,5,2023,236
10035,Sky Davis,High,6,17,2023,193
10036,Judy Scott,High,2,18,2025,131
10037,Tim Martin,Critical,7,9,2025,82
10038,Grace Green,Critical,4,15,2026,3
10039,Carlos Johnson,Critical,6,28,2024,237
10040,Peggy Smith,High,6,14,2024,124
10041,Niaj Lopez,Critical,12,27,2023,2
10042,Beth Harris,Medium,12,13,2025,85
10043,Zach Jobs,Critical,4,15,2024,278
10044,Diana Roberts,Critical,12,11,2023,303
10045,Eve Garcia,Medium,4,26,2023,254
10046,Olivia Lewis,Medium,8,14,2023,88
10047,Judy Brown,Low,7,8,2023,196
10048,Ian Gonzalez,High,3,27,2024,301
10049,Nancy Thompson,Low,4,17,2025,278
10050,Bob Moore,High,1,10,2023,254
10051,Linus King,High,2,18,2025,166
10052,Ian Thompson,Medium,1,21,2024,38
10053,Sky Thomas,Low,7,23,2023,173
10054,Quentin Phillips,Low,3,24,2025,33
10055,Ada Jobs,Critical,1,8,2023,113
10056,Hannah Perez,High,7,4,2025,158
10057,David Hernandez,Medium,3,4,2024,218
10058,Kevin Hall,Low,10,24,2024,268
10059,Olivia Zuckerberg,Critical,1,4,2026,314
10060,Sky Turing,Medium,7,26,2024,167
10061,Yvonne Turner,Medium,12,16,2023,50
10062,Victor Gonzalez,Low,4,21,2023,321
10063,Xander Adams,Critical,10,6,2024,336
10064,Karl Jones,Medium,7,22,2023,242
10065,Bill White,Low,8,13,2026,209
10066,Yvonne Wilson,High,4,26,2023,268
10067,Hannah Thomas,Critical,6,20,2024,22
10068,Ada Nelson,Medium,1,20,2023,317
10069,Quentin Garcia,Medium,10,1,2023,215
10070,Heidi Miles,Critical,12,21,2026,107
10071,Mike Davis,Critical,10,26,2025,354
10072,Rupert Hill,Medium,9,14,2024,254
10073,Bob Smith,High,12,28,2025,26
10074,Alan Nelson,Low,1,2,2023,260
10075,Bill Walker,Low,1,21,2026,335
10076,Rupert Lewis,High,8,24,2023,76
10077,Ivan Martin,Critical,5,23,2025,206
10078,Uma Martin,High,12,3,2024,274
10079,Diana Mitchell,Medium,11,18,2024,343
10080,Diana Hernandez,High,12,6,2023,119
10081,Xander Miller,Critical,12,5,2025,203
10082,Laura Anderson,Medium,12,20,2025,116
10083,Wendy Zuckerberg,Medium,3,6,2025,60
10084,Carlos Martin,Medium,5,15,2025,71
10085,Victor Zuckerberg,Critical,1,26,2025,118
10086,Frank Moore,High,8,9,2023,98
10087,Olivia Young,High,2,22,2023,14
10088,Ethan Williams,High,2,1,2024,29
10089,Ethan Adams,Critical,7,24,2024,265
10090,Aaron Mitchell,Low,2,8,2025,119
10091,Mike Phillips,Critical,10,28,2025,312
10092,Mallory Ross,Low,12,14,2024,2
10093,Linus Nelson,Low,1,28,2023,144
10094,Peggy Harris,Medium,6,26,2026,287
10095,Nancy Scott,Low,9,3,2024,113
10096,Ethan Lee,High,3,9,2023,40
10097,Heidi Turing,Medium,1,3,2024,175
10098,George Carter,High,6,13,2025,78
10099,Sky Lopez,High,10,1,2026,1
10100,Ivan Lee,Medium,10,23,2024,56
10101,Mark Moore,Medium,7,7,2026,303
10102,Niaj Wilson,Low,6,16,2025,249
10103,Karl Taylor,High,1,27,2023,273
10104,Alan Thompson,Low,4,25,2023,304
10105,Diana Lopez,Critical,6,17,2023,357
10106,Judy Williams,Critical,10,27,2023,98
10107,Victor Carter,Low,12,17,2023,206
10108,Quentin Walker,High,9,21,2023,298
10109,David Mitchell,High,7,1,2024,200
10110,Mike Garcia,Medium,4,14,2023,160
10111,Olivia Scott,Critical,11,10,2026,349
10112,Heidi LovelacePoe,Low,4,14,2024,341
10113,Jeff Johnson,Medium,10,27,2023,63
10114,Zach Miller,Low,3,19,2024,272
10115,Wendy Carter,High,3,10,2025,81
10116,Xander Ross,High,11,19,2026,142
10117,Xander Martin,Critical,9,3,2026,234
10118,Ivan Thomas,High,9,28,2026,333
10119,Diana Roberts,Critical,2,23,2023,267
10120,George Thomas,High,2,14,2025,1
10121,Aaron Harris,High,5,24,2025,96
10122,Mallory Jones,Medium,7,11,2024,311
10123,Quentin Thompson,Low,10,2,2023,334
10124,Mallory Williams,Medium,9,20,2023,339
10125,David Johnson,Medium,11,27,2024,68
10126,Grace Miles,Critical,3,13,2025,334
10127,Ethan Hall,Critical,3,1,2024,229
10128,Yvonne Anderson,Medium,12,14,2023,363
10129,Nancy Baker,Medium,1,27,2026,360
10130,George Lee,High,2,15,2026,136
10131,Sky Davis,Low,6,24,2023,348
10132,Judy Wilson,Low,2,9,2025,284
10133,Peggy Green,Low,2,18,2026,217
10134,Alice Hill,High,6,15,2025,106
10135,Diana White,High,5,4,2023,150
10136,Sybil Davis,Medium,3,16,2026,123
10137,Sybil Young,Medium,5,8,2025,257
10138,Carol Walker,Critical,4,9,2024,278
10139,Ada Miles,High,3,21,2023,15
10140,Niaj Mitchell,Medium,10,24,2026,352
10141,Wendy Perez,Medium,5,25,2025,174
10142,Mallory Davis,Critical,11,21,2026,358
10143,Grace Lewis,Critical,10,1,2025,282
10144,Grace Phillips,High,4,1,2025,281
10145,Fiona Gonzalez,High,9,15,2024,100
10146,Wendy Jobs,High,8,4,2026,167
10147,Karl Adams,High,5,1,2024,134
10148,Niaj Wright,Medium,6,26,2024,55
10149,Heidi Miller,Medium,11,23,2023,179
10150,Carlos Wright,Critical,10,8,2024,112
10151,Ian Johnson,Critical,3,16,2024,151
10152,Linus Jackson,High,4,8,2024,227
10153,Heidi Adams,Medium,12,23,2025,165
10154,Ada Turner,Critical,9,2,2026,39
10155,Carol Lewis,Low,8,13,2023,293
10156,Trent Wright,Critical,5,15,2026,14
10157,Tim Phillips,High,11,23,2023,134
10158,Judy Miles,Low,2,7,2025,18
10159,Yvonne Green,High,7,5,2024,129
10160,Mark Miller,Low,4,18,2026,331
10161,Sky Phillips,High,12,20,2023,229
10162,Victor Hernandez,High,9,16,2026,111
10163,Victor Thompson,Low,10,17,2026,324
10164,Mike Perez,Low,11,6,2024,226
10165,Victor Williams,Low,5,27,2024,350
10166,Alan Taylor,Low,1,11,2024,141
10167,Karl Hernandez,High,5,12,2023,162
10168,Fiona Wilson,High,5,2,2026,28
10169,Bill LovelacePoe,High,5,14,2025,26
10170,Bob Turing,Critical,2,25,2026,228
10171,Mallory Wilson,Medium,4,25,2025,147
10172,Ian Garcia,High,11,11,2023,4
10173,Eve Lee,Medium,1,12,2023,264
10174,Carlos Allen,High,7,18,2024,99
10175,Carol Jones,Medium,11,21,2024,59
10176,Bill Jones,Critical,12,18,2023,333
10177,Diana Lopez,Low,7,8,2024,6
10178,Sybil Taylor,Critical,12,7,2024,352
10179,George Scott,High,4,21,2023,235
10180,Ivan Turing,Critical,8,14,2024,9
10181,Beth Hernandez,High,11,22,2025,114
10182,Hannah Hernandez,Low,6,18,2024,207
10183,Carol Anderson,Medium,12,23,2025,270
10184,Olivia King,Critical,7,10,2025,360
10185,Alan Carter,Medium,4,8,2023,126
10186,Ivan Davis,Low,11,28,2026,73
10187,Zach Miller,Low,5,2,2023,328
10188,Mallory Gates,Medium,8,25,2024,120
10189,Sky Roberts,Medium,2,13,2026,309
